gid;playgrounds;playgrounds_area;rating
12;20;103678.64428693;0.115893690737511
56;9;102968.163253825;0.11509950337432
116;14;99477.4652578782;0.111197543845598
172;9;96541.5695740679;0.1079157514499
63;14;93375.0409340294;0.104376153749293
52;12;93117.7690882133;0.104088571056256
59;10;91632.2890090374;0.102428077035749
99;12;89132.1475223781;0.0996333778356603
98;0;87163.2739764608;0.0974325386618733
39;15;84751.8042909759;0.0947369582569152
68;8;83300.5891897612;0.0931147661913213
23;12;82820.6920302959;0.0925783292677157
105;7;81785.7577716985;0.0914214627623282
27;16;80883.7119855074;0.090413141173105
51;7;79004.7271739984;0.0883127811023959
187;8;78976.3809234514;0.0882810951981575
62;4;76199.1801584041;0.0851766945880412
133;4;76040.2086953786;0.0849989936767428
154;10;75835.3422534552;0.0847699906045474
171;5;75016.4500815004;0.0838546194904995
61;11;72625.8104291225;0.0811823232385273
29;7;70804.4054984203;0.0791463269039072
186;5;63089.955935249;0.0705229885295163
108;9;60724.9408332568;0.0678793358206586
188;9;59083.1483835155;0.0660441132660609
111;10;57566.2875139804;0.0643485412828931
139;16;52922.9431405322;0.0591581347097238
67;12;46555.4963495866;0.0520404981486675
71;9;43647.7263412357;0.048790145094754
102;9;40443.6465222162;0.0452085720697818
21;0;40118.33284737;0.0448449311031719
38;8;36423.2396703744;0.0407144952853975
173;0;35413.4446823928;0.0395857298694306
109;15;35200.5298967148;0.0393477302264518
46;10;35028.8824739833;0.0391558599192854
135;4;27137.2705784924;0.0303344865812489
110;8;18078.0468144026;0.0202079375271185
70;2;18075.2723317571;0.020204836164867
19;0;12655.7330463052;0.0141467861758094
104;12;12039.151694068;0.0134575614174982
134;1;10948.6957342721;0.0122386318429783
190;0;3993.90218509867;0.004464449432756
7;0;0;0
